Nazwa,Cena,Oferta od,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Kraj pochodzenia,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Tuning,Stan,VIN,Bezwypadkowy,Serwisowany w ASO,Leasing, Pierwszy właściciel (od nowości),Spalanie W Cyklu Mieszanym,Okres gwarancji producenta,lub do (przebieg km),Możliwość finansowania,Faktura VAT,Uszkodzony,VAT marża,Gwarancja dealerska (w cenie),Miesięczna rata,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Kierownica po prawej (Anglik),Zarejestrowany jako zabytek,Autonomia
BMW Seria 3,34 680,Firma,Tak,,BMW,Seria 3,,F30/F31 (2012-2020),2016,84 141 km,1 998 cm3,Benzyna,184 KM,Automatyczna,,,,Sedan,,4,,Czarny,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,Tak,,,,,,,,,
BMW Seria 3,179 900,Firma,Tak,,BMW,Seria 3,,G20/G21 (2019-),2021,46 500 km,1 998 cm3,Benzyna,184 KM,Automatyczna,4x4 (stały),,,Sedan,,4,5,Szary,,Polska,30 kwiecień 2021,,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 320d xDrive M Sport Shadow,139 900,Firma,Tak,Tak,BMW,Seria 3,320d xDrive M Sport Shadow,G20/G21 (2019-),2020,135 000 km,1 995 cm3,Diesel,190 KM,Automatyczna,4x4 (stały),,7 l/100km,Kombi,133 g/km,5,5,Biały,Perłowy,Polska,12 maj 2020,BEZWYPADKOWY,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 325xi,30 000,Prywatne,Tak,Tak,BMW,Seria 3,325xi,E90/E91/E92/E93 (2005-2012),2008,178 829 km,2 996 cm3,Benzyna,218 KM,Manualna,4x4 (dołączany automatycznie),6.0 l/100km,11 l/100km,Sedan,193 g/km,5,5,Szary,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 318d,19 900,Firma,Tak,,BMW,Seria 3,318d,E90/E91/E92/E93 (2005-2012),2010,228 061 km,1 995 cm3,Diesel,143 KM,Manualna,Na tylne koła,3.0 l/100km,5 l/100km,Kombi,119 g/km,5,5,Czarny,Metalik,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320i,17 500,Prywatne,Tak,,BMW,Seria 3,320i,E90/E91/E92/E93 (2005-2012),2007,241 325 km,1 995 cm3,Benzyna,170 KM,Manualna,Na przednie koła,,8 l/100km,Kombi,,5,5,Czarny,Metalik,,,,,,Używane,Wyświetl VIN,Tak,Tak,,,,,,Tak,,,Tak,,,,,,,,
BMW Seria 3 340i M Sport Shadow,135 000,Prywatne,Tak,Tak,BMW,Seria 3,340i M Sport Shadow,F30/F31 (2012-2020),2016,149 000 km,2 998 cm3,Benzyna,326 KM,Automatyczna,Na tylne koła,5.0 l/100km,8 l/100km,Sedan,152 g/km,4,5,Srebrny,Metalik,Stany Zjednoczone,styczeń 2017,ZK 3340K,Tak,Tak,Używane,Wyświetl VIN,,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 335i xDrive Sport Line,49 000,Prywatne,Tak,,BMW,Seria 3,335i xDrive Sport Line,F30/F31 (2012-2020),2015,95 000 km,2 979 cm3,Benzyna,306 KM,Automatyczna,,,11 l/100km,Sedan,,5,,Inny kolor,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,Tak,,,,,,,,,
BMW Seria 3 320d MHEV Advantage,179 950,Firma,Tak,Tak,BMW,Seria 3,320d MHEV Advantage,G20/G21 (2019-),2022,36 517 km,1 995 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,,,Sedan,,4,5,Czarny,Metalik,Polska,27 lipiec 2022,DW1TE61,Tak,,Używane,Wyświetl VIN,,Tak,,Tak,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 325i,28 900,Firma,Tak,,BMW,Seria 3,325i,E90/E91/E92/E93 (2005-2012),2005,189 000 km,2 497 cm3,Benzyna,218 KM,Manualna,Na tylne koła,,14 l/100km,Sedan,179 g/km,4,5,Fioletowy,Metalik,Niemcy,,,,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,Tak,,,,,,,,
